source;x;y;z
S0;0;0;1.45
S1;-0.0541633084026989;-1.99466213086417;1.18
S2;-1.1755467246671;-1.09441542223903;1.18
S3;-1.32405532094236;0.906124268417953;1.18
S4;-0.462386818518745;2.20513385179703;1.18
